AuthorID,Author,Date,Content,Attachments,Reactions
"802980996114415648","justinaversano.eth#9406","2021-11-19","Oh shit i forgot. Should we all post same thing for tomorrow founder call? Maybe we just do the deeze one","","🙌🏻 (1),👀 (1)"
"817469690347257877","alexcartagenamex#4215","2021-11-19","https://tenor.com/view/gerard-ekdom-ekdom-in-de-morgen-radio10-ekdom-radio-gif-14103160","",""
"819708932876140575","shanelavalette#2830","2021-11-19","Excellent!","",""
"819708932876140575","shanelavalette#2830","2021-11-19","Looking forward","",""
"819708932876140575","shanelavalette#2830","2021-11-19","Will try to join tomorrow too, if that’s happening! 😎","","💯 (1)"
"820715430683082835","omarzrobles#9845","2021-11-19","If there's any problems with the hosting tomorrow I'm happy to host. I have the recording capability if we want to have it recorded.","",""
"820715430683082835","omarzrobles#9845","2021-11-19","have tokens been airdropped already to founding members ?","",""
"827362797792788520","hddamico#7928","2021-11-20","not yet","",""
"820715430683082835","omarzrobles#9845","2021-11-20","obrigado","",""
"704460941772849302","cooper#6009","2021-11-20","We should do both, i don't know why we wouldn't do both if we really want to convince people to contribute.

You should schedule (on twitter) and host the space today like we planned to please! If you schedule it now we can still share it.","",""
"704460941772849302","cooper#6009","2021-11-20","gm","",""
"704460941772849302","cooper#6009","2021-11-20","especially if one was more formal in talking about RAW and the other is more of a chill conversation. a space hosted by you @justinaversano.eth will span a different audience than a deeze space. both would be beneficial.","",""
"827362797792788520","hddamico#7928","2021-11-20","agree with @cooper","",""
"827362797792788520","hddamico#7928","2021-11-20","@cooper @alexcartagenamex @michelleviljoen.eth @Lapsus let’s us know should you want to discuss the draft later today or tomorrow","","ToadYes (2)"
"827362797792788520","hddamico#7928","2021-11-20","we should target to have it concluded before party bid ends","",""
"823934448835756052","michelleviljoen.eth#8371","2021-11-20","@hddamico Yes I agree! I’m available to hop on a call today anytime to chat through it","",""
"823934448835756052","michelleviljoen.eth#8371","2021-11-20","And once @justinaversano.eth schedules the space I’ll share it out. It’s good to give people time to set reminders to join later.","",""
"704460941772849302","cooper#6009","2021-11-20","@michelleviljoen.eth @Lapsus @alexcartagenamex tomorrow would probably be best for me tbh. yesterday was p busy for ale and I with Obscura. I personally have not given much input on it yet. Mayve this eve","",""
"823934448835756052","michelleviljoen.eth#8371","2021-11-20","Tomorrow works for me too! I’m just here to shoot so my days are very flexible. Whatever works best for everyone!","",""
"704460941772849302","cooper#6009","2021-11-20","There's no reason we dont do an official RAW space today IMO. 1PM EST was the plan. @justinaversano.eth i pitched the space to Deeze sunday as a follow up to TODAYs space. please let us know asap","",""
"704460941772849302","cooper#6009","2021-11-20","ty","",""
"823934448835756052","michelleviljoen.eth#8371","2021-11-20","Congratulations btw!!! I was out shooting and totally missed the passes sale 😭😭😭","",""
"823934448835756052","michelleviljoen.eth#8371","2021-11-20","Yeah I definitely think we should do it today. Should it not be scheduled by the RAW Twitter account in that case? And we all share it.","",""
"704460941772849302","cooper#6009","2021-11-20","Thank you!! im so damn hyped we sold out the curated passes!!!! Funding Guaranteed for commissions!!! We still have Foundry and Community Tier season passes available on the site btw","",""
"704460941772849302","cooper#6009","2021-11-20","If Justin schedules it, the space will have 20x more reach...","",""
"823934448835756052","michelleviljoen.eth#8371","2021-11-20","True true! ok cool no prob.","",""
